,W eco,W soc,K,Recovery rate,Delay for societal,Divorce
187,0.0,0.0,-2.4000000000000004,1.0,0.5,126.65536064150231
188,0.0,0.0,-2.4000000000000004,1.0,1.5,126.65479694824336
189,0.0,0.0,-2.4000000000000004,1.0,2.5,126.60285253435269
190,0.0,0.0,-2.4000000000000004,1.0,3.5,126.60955173252242
191,0.0,0.0,-2.4000000000000004,1.0,4.5,126.6949471766869
192,0.0,0.0,-2.4000000000000004,1.0,5.5,126.80831347877916
193,0.0,0.0,-2.4000000000000004,1.0,6.5,126.88793316009289
194,0.0,0.0,-2.4000000000000004,1.0,7.5,126.93065461755873
195,0.0,0.0,-2.4000000000000004,1.0,8.5,126.95523726094132
196,0.0,0.0,-2.4000000000000004,1.0,9.5,126.97526035658393
197,0.0,0.0,-2.4000000000000004,1.0,10.5,126.99617726265144
198,0.0,0.0,-1.6000000000000005,0.0,0.5,0.19787913755992587
199,0.0,0.0,-1.6000000000000005,0.0,1.5,0.2181786328493055
200,0.0,0.0,-1.6000000000000005,0.0,2.5,0.2400869299328651
201,0.0,0.0,-1.6000000000000005,0.0,3.5,0.2637896055124015
202,0.0,0.0,-1.6000000000000005,0.0,4.5,0.2894089287057507
203,0.0,0.0,-1.6000000000000005,0.0,5.5,0.3169876873398362
204,0.0,0.0,-1.6000000000000005,0.0,6.5,0.34645227603828715
205,0.0,0.0,-1.6000000000000005,0.0,7.5,0.37758202554438985
206,0.0,0.0,-1.6000000000000005,0.0,8.5,0.41001073270327565
207,0.0,0.0,-1.6000000000000005,0.0,9.5,0.4432662112245761
208,0.0,0.0,-1.6000000000000005,0.0,10.5,0.4768287235819243
209,0.0,0.0,-1.6000000000000005,0.2,0.5,90.32701562928241
210,0.0,0.0,-1.6000000000000005,0.2,1.5,90.35425966500875
211,0.0,0.0,-1.6000000000000005,0.2,2.5,90.37288089378376
212,0.0,0.0,-1.6000000000000005,0.2,3.5,90.38441354268177
213,0.0,0.0,-1.6000000000000005,0.2,4.5,90.39217141378762
214,0.0,0.0,-1.6000000000000005,0.2,5.5,90.39239048971054
215,0.0,0.0,-1.6000000000000005,0.2,6.5,90.37390651011465
216,0.0,0.0,-1.6000000000000005,0.2,7.5,90.3288967434633
217,0.0,0.0,-1.6000000000000005,0.2,8.5,90.25730856347491
218,0.0,0.0,-1.6000000000000005,0.2,9.5,90.1629756162971
219,0.0,0.0,-1.6000000000000005,0.2,10.5,90.04961077764762
220,0.0,0.0,-1.6000000000000005,0.4,0.5,110.11313264928711
221,0.0,0.0,-1.6000000000000005,0.4,1.5,110.08125207642487
222,0.0,0.0,-1.6000000000000005,0.4,2.5,110.06074268099852
223,0.0,0.0,-1.6000000000000005,0.4,3.5,110.04117143975482
224,0.0,0.0,-1.6000000000000005,0.4,4.5,110.03225945779528
225,0.0,0.0,-1.6000000000000005,0.4,5.5,110.0486000860412
226,0.0,0.0,-1.6000000000000005,0.4,6.5,110.08589906799568
227,0.0,0.0,-1.6000000000000005,0.4,7.5,110.12250821500415
228,0.0,0.0,-1.6000000000000005,0.4,8.5,110.13921665477496
229,0.0,0.0,-1.6000000000000005,0.4,9.5,110.12710122711296
230,0.0,0.0,-1.6000000000000005,0.4,10.5,110.0848579857369
231,0.0,0.0,-1.6000000000000005,0.6000000000000001,0.5,116.91691127857726
232,0.0,0.0,-1.6000000000000005,0.6000000000000001,1.5,116.90472600680954
233,0.0,0.0,-1.6000000000000005,0.6000000000000001,2.5,116.90009735564655
234,0.0,0.0,-1.6000000000000005,0.6000000000000001,3.5,116.87864087036725
235,0.0,0.0,-1.6000000000000005,0.6000000000000001,4.5,116.82602273700809
236,0.0,0.0,-1.6000000000000005,0.6000000000000001,5.5,116.76105047510734
237,0.0,0.0,-1.6000000000000005,0.6000000000000001,6.5,116.71511579165592
238,0.0,0.0,-1.6000000000000005,0.6000000000000001,7.5,116.69631906998119
239,0.0,0.0,-1.6000000000000005,0.6000000000000001,8.5,116.6940450012512
240,0.0,0.0,-1.6000000000000005,0.6000000000000001,9.5,116.69492842559376
241,0.0,0.0,-1.6000000000000005,0.6000000000000001,10.5,116.68962962517458
242,0.0,0.0,-1.6000000000000005,0.8,0.5,120.07655620739409
243,0.0,0.0,-1.6000000000000005,0.8,1.5,120.14181510882749
244,0.0,0.0,-1.6000000000000005,0.8,2.5,120.20416557443927
245,0.0,0.0,-1.6000000000000005,0.8,3.5,120.28393938158116
246,0.0,0.0,-1.6000000000000005,0.8,4.5,120.34321727339524
247,0.0,0.0,-1.6000000000000005,0.8,5.5,120.35057176301109
248,0.0,0.0,-1.6000000000000005,0.8,6.5,120.32418923991752
249,0.0,0.0,-1.6000000000000005,0.8,7.5,120.2939326552221
250,0.0,0.0,-1.6000000000000005,0.8,8.5,120.27342493206562
251,0.0,0.0,-1.6000000000000005,0.8,9.5,120.2633575806852
252,0.0,0.0,-1.6000000000000005,0.8,10.5,120.25975274413278
253,0.0,0.0,-1.6000000000000005,1.0,0.5,122.35668210716884
254,0.0,0.0,-1.6000000000000005,1.0,1.5,122.35005626986919
255,0.0,0.0,-1.6000000000000005,1.0,2.5,122.32657815093091
256,0.0,0.0,-1.6000000000000005,1.0,3.5,122.3526342270607
257,0.0,0.0,-1.6000000000000005,1.0,4.5,122.43819418443273
258,0.0,0.0,-1.6000000000000005,1.0,5.5,122.52411063056088
259,0.0,0.0,-1.6000000000000005,1.0,6.5,122.57498172490028
260,0.0,0.0,-1.6000000000000005,1.0,7.5,122.59889767491983
261,0.0,0.0,-1.6000000000000005,1.0,8.5,122.61254240246032
262,0.0,0.0,-1.6000000000000005,1.0,9.5,122.62600629406846
